name,price,year,location,mileage,engine,gearshift,addtional_info,image
BMW X2 sDrive20i mHEV,296 200,2024 ,Gliwice (Śląskie),5 000 km,Benzyna,Automatyczna,1 499 cm3 • 170 KM • X2 sDrive20i /Samochód demonstracyjny / Nowy Model,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im41dzlxaTh5MWNvZTItT1RPTU9UT1BMIn0.eG4XDL-ksXhbK6LCBb3K4Sya3NiOtwJH17e19zsjjMk/image;s=644x461
BMW Seria 5 520d xDrive,89 900,2016 ,Piekoszów (Świętokrzyskie),169 000 km,Diesel,Automatyczna,1 995 cm3 • 190 KM • BMW 520d xdrive F10,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InlmNHlvMzRvMWY2czEtT1RPTU9UT1BMIn0.4ZgiH0QCiAdbpS_4L7zypQSve2E3XMQEQNhh0zky-sY/image;s=320x240
BMW Seria 3 330d DPF Cabrio M Sport Edition,45 900,2009 ,Gdańsk (Pomorskie),381 000 km,Diesel,Automatyczna,"2 993 cm3 • 245 KM • [OKAZJA] BMW E93 3.0d 245KM AUTOMAT M Pakiet, czarny, hardtop, zadbany",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijlsa20zMzV5NWllbS1PVE9NT1RPUEwifQ.9NE4Ukq4YJ8Y9MVuoC4MWJ7IrldbEpVc7ipBXYdiR-Y/image;s=320x240
BMW X6 xDrive30d mHEV sport,440 600,2023 ,Chorzów (Śląskie),1 km,Diesel,Automatyczna,2 993 cm3 • 298 KM • xDrive30d M Sport 3.0 (298KM),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imp4eWFpMGQ1aXlnODItT1RPTU9UT1BMIn0.9BBeJavDHLVywPy-_ovx3NxWwiKIr0AbinKRT4Gb30w/image;s=644x461
BMW Seria 3 325i,21 800,2005 ,Radzymin (Mazowieckie),250 000 km,Benzyna,Manualna,2 497 cm3 • 218 KM • BMW seria 3 E90 325i,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjFzcDB2eDlubzFyZTEtT1RPTU9UT1BMIn0.9_umrjJOS1ksA6heu7-BtAVQZCuh3nexp5HRfaZFIh8/image;s=320x240
BMW Seria 3,40 000,2008 ,Opoczno (Łódzkie),199 702 km,Benzyna,Manualna,2 996 cm3 • 272 KM • BMW seria 3,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Indka3hwcTBlM3pkbi1PVE9NT1RPUEwifQ.zBcJERY8_dWpNKC6zGSmTwWiihf2uE8i2fTELzMZDq4/image;s=320x240
BMW Seria 3 325i Touring,36 500,2009 ,Rzeszów (Podkarpackie),259 000 km,Benzyna,Manualna,2 996 cm3 • 218 KM,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImxsejB0M2dvNTh2bS1PVE9NT1RPUEwifQ.ZPAFwbPX_eDxRc2jM0EXoMQStiGuEKRAWQQWjE17L5o/image;s=320x240
BMW Seria 5 530i xDrive GPF Luxury Line sport,135 900,2019 ,Warszawa (Mazowieckie),75 604 km,Benzyna,Automatyczna,1 998 cm3 • 252 KM • Bmw G30 530i Xdrive linesport 2019 przebieg 75604 km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImI4MHI2MnlwOThpNDEtT1RPTU9UT1BMIn0.oK_9daKXvGwx5_BG91UBKJjQcYftiLFY0yS-p-uswAw/image;s=320x240
BMW X1 sDrive18d,189 420,2023 ,Ostrołęka (Mazowieckie),18 km,Diesel,Automatyczna,1 995 cm3 • 150 KM • I rej 2024 / Salon PL / Gwarancja /,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImN2MDE2OWIzYTJrNjEtT1RPTU9UT1BMIn0.O5JsFBLwZvR3I3wV91Igj7_EZzCu69Oes6zhJ-H-Uh8/image;s=320x240
BMW Seria 6 640d Gran Coupe,55 000,2015 ,Kalisz (Wielkopolskie),200 000 km,Diesel,Automatyczna,2 993 cm3 • 313 KM,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InZkbGwyMDBmYzVicDItT1RPTU9UT1BMIn0.Jhq1w95myg1Gs46cC-MApdZ9JjK0U8jJ3hk0mdGaEoc/image;s=320x240
BMW Seria 1 118d,19 800,2010 ,Racibórz (Śląskie),228 000 km,Diesel,Manualna,1 995 cm3 • 143 KM • E87 118d Bardzo zadbana*sporo doinwestowana*Alu*Klima* 5drzwi LIFT,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImRmMGlrYnozZmN3YzEtT1RPTU9UT1BMIn0.g87xX6pOyGrRXiOhmZ9SMzeXgeMls7k-a74gPJM8dTI/image;s=320x240
