name,price,year,location,mileage,engine,gearshift,addtional_info,image
BMW Seria 5 520d mHEV M Sport,240 900,2024 ,Sosnowiec (Śląskie),5 km,Diesel,Automatyczna,1 995 cm3 • 197 KM • 520d M sport + Pakiet Travel,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im9tZGZpaXQ3eW15NjItT1RPTU9UT1BMIn0.Up25MlP248LdSZfV5YmIikJ5F1MP1P8G74URu0pB3yY/image;s=644x461
BMW Seria 4 430i xDrive M Sport sport,295 900,2023 ,Poznań (Wielkopolskie),9 000 km,Benzyna,Automatyczna,1 998 cm3 • 245 KM • Nowe BMW 430i Xdrive Gran Coupe M Sport z pakietami / FULL OPCJA,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImQ2Z3VxNzV0YXNxeS1PVE9NT1RPUEwifQ.uKYDPTR_jP64m6UcSgjsx49iykh9QZdtL011ogOEK1U/image;s=320x240
BMW Seria 5 520d Luxury Line,87 000,2017 ,Tychy (Śląskie),234 000 km,Diesel,Automatyczna,1 995 cm3 • 190 KM • Jedyne takie BMW !!! Kultura Jazdy Gwarantowana !!!,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InAzN3FzaWtmNjBheTEtT1RPTU9UT1BMIn0.yFWDxzzMejr_QiiyXALIM54KAFIeUJ9-TdhKmQ_nLHA/image;s=320x240
BMW X1,285 900,2023 ,Poznań (Wielkopolskie),7 500 km,Hybryda,Automatyczna,1 499 cm3 • 136 KM • Nowe BMW X1 xDrive30e / Full Opcja / DOSTĘPNY OD RĘKI,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Impsd2dwMzVxNGs1NjEtT1RPTU9UT1BMIn0.oYezSRj73TSqnlPP5dJwKTAsfoyX_dzNZSktg3fCspU/image;s=320x240
BMW Seria 3,9 500,2006 ,Kielce (Świętokrzyskie),175 000 km,Benzyna,Automatyczna,2 497 cm3 • 218 KM • BMW e91 325i 2.5l N52 Automat Anglik,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im8wd3hlaDJpcjNjbjMtT1RPTU9UT1BMIn0.QvUEm1bxzbmikSC7Eqq65z9By1l2AHDpBZZDVydnKrI/image;s=320x240
BMW M3,105 000,2003 ,Krotoszyn (Wielkopolskie),258 000 km,Benzyna,Automatyczna,3 246 cm3 • 343 KM • BMW E46 M3 Świeże Panewki (BIG BRAKE),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImE5enFkMTZucXcxai1PVE9NT1RPUEwifQ.vd-ENEnsqSdsjuF_l-FY0lsYeY27bsNhdPfNTgOoJjM/image;s=320x240
BMW Seria 3,49 900,2009 ,Białystok (Podlaskie),202 000 km,Benzyna,Automatyczna,2 996 cm3 • 230 KM • BMW 328i Xdrive stan bardzo dobry,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjltdGZhN25zc3EyYTMtT1RPTU9UT1BMIn0.SWr4_zPEH9uKH7iyXXRp4453M6qX7xmYSTR8c7e8C5o/image;s=320x240
BMW X3 xDrive20d,65 999,2012 ,Kąty Opolskie (Opolskie),238 300 km,Diesel,Manualna,"1 995 cm3 • 184 KM • M-Pakiet! 8xAlu, Bixenon, Navi, Panorama, Skóra, LED! Grzane fotele!",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Inc3aTBnd3BsazNmZS1PVE9NT1RPUEwifQ.64n0gK-SmYHeSoS9rgP1sPAg6s1l4vXYdF1Y2knhnEw/image;s=320x240
BMW Seria 5 520d Touring Luxury Line,55 800,2014 ,Opole (Opolskie),252 000 km,Diesel,Automatyczna,1 995 cm3 • 184 KM • BMW F11 520d 2014r,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjY2dGh1NjB1bm13ci1PVE9NT1RPUEwifQ.JoovHmdhKyf0tQIjeIIkCZ6ZYv3qCAOw4fMZGqicNiM/image;s=320x240
BMW Seria 5 520d mHEV M Sport,247 900,2024 ,Sosnowiec (Śląskie),5 km,Diesel,Automatyczna,1 995 cm3 • 197 KM • 520d M Sport + Pakiet Travel + Pakiet Innowacji,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjEycjg3bnprZHZjcDItT1RPTU9UT1BMIn0.OYWsLNN7qZ5tWryTnVB4vi2AuhT0rSspOvne9XYX_aA/image;s=644x461
